μάρτυς	mártir; testigo
πρόβατον	oveja
εὐχαριστέω	ser agradecido; agradecer; dar gracias
προσευχή	oración
ἀδικέω	actuar mal; injuriar; agraviar
ἐπιθυμία	deseo; lujuria
ὑπομονή	resistencia; perseverancia paciente
βλασφημέω	blasfemar
μήτε	ni; y no
πληγή	golpear; herir
ἀληθινός	verdadero; confiable
ἀστήρ	estrella; planeta
ἄρτι	ahora; recién; inmediatamente
ἄρχων	gobernante; juez
ἐπιστρέφω	regresar; volverse
ἰσχυρός	fuerte; poderoso
ὀπίσω	atrás; tras; detrás; después
δείκνυμι	mostrar; hacer conocido; explicar; traer a luz
εὐθέως	inmediatamente; al instante
ναί	sí
ἀκάθαρτος	inmundo
ὥσπερ	como; tal como
πτωχός	pobre
τελέω	completar; terminar
ἀγοράζω	comprar
ἐκχέω	derramar; dar en abundancia; derrochar
Ἰωσήφ	José
διακονία	servicio; ministerio; meditación
περιβάλλω	arropar; cubrir
ποτήριον	copa; vaso
φαίνω	aparecer; hacerse visible; hacer conocer; alumbrar
ἀρνέομαι	negar; rehusar
δέκα	diez
διαθήκη	pacto; testamento
ποῖος	cuál; de qué tipo
ἄνεμος	viento
ἐχθρός	enemigo; ser enemigo de
ἱερεύς	sacerdote
διδαχή	enseñanza; doctrina
εἰκών	imagen; símil, figura
καθαρός	Impuro
μάχαιρα	espada
στέφανος	corona; guirnalda; esteban, corona; guirnalda
φεύγω	huir; escapar; desaparecer rápidamente
χρυσοῦς	oro
ἀναγινώσκω	leer; leer en voz alta
ἐγγύς	cerca
ἵππος	caballo
μυστήριον	secreto; misterio
νεφέλη	nube
πλήν	pero; excepto; solo
πλούσιος	rico; abundancia
πορνεία	fornicación, inmoralidad sexual
ἥκω	venir; llegar; arribar
ὁμοίως	de manera similar; asimismo
θυσιαστήριον	altar; santuario
μισθός	salario; galardón; recompensa
πόθεν	dónde; de dónde; por tanto
βαστάζω	llevar; mudar; proveer para; soportar
κρίμα	juicio; sentencia; demanda; condena
προφητεύω	profetizar
ἐνδύω	vestir; vestirse
δένδρον	árbol
πυλών	puerta; portón; entrada
σφραγίς	sello; inscripción
ἁγιάζω	consagrar; dedicar
ἰσχύω	ser fuerte; ser capaz de
βασιλεύω	ser un rey; reinar
θυμός	furia; ira; rabia; pasión
οὔπω	todavía no
τεσσεράκοντα	cuarenta
ἀριθμός	número
ἐκεῖθεν	de allí; desde ese lugar
ξύλον	madera; árbol; poste
πόλεμος	guerra; batalla
φιλέω	amar; besar
χήρα	viuda
ὀμνύω	jurar; tomar juramento
ὁμολογέω	admitir; confesar; acordar
Αἴγυπτος	Egipto
δράκων	dragón
κεῖμαι	recostarse; reclinarse
μανθάνω	aprender
νοῦς	mente; entendimiento
προφητεία	profecía
σκεῦος	vasija; objeto
ἐλεύθερος	libre; persona libre
γρηγορέω	velar; estar despierto
καπνός	humo
οὗ	no; donde
πάρειμι	presentarse; estar presente
ποταμός	río
θερίζω	segar; cosechar
κατηγορέω	acusar
κοιλία	vientre; matriz; estómago
κοπιάω	trabajo arduo; estar cansado
μήν	 ciertamente,
μιμνῄσκομαι	recordar; acordarse
μνημονεύω	recordar; traer a la memoria; mencionar
πεινάω	tener hambre
πλοῦτος	riquezas; abundancia
φιάλη	copa; cuenco
ἄπιστος	infiel; desleal; incrédulo
βλασφημία	blasfemia; difamación
λατρεύω	adorar; servir
πωλέω	vender
σφραγίζω	sellar; marcar
τίκτω	dar a luz; parir; traer al mundo
χιλίαρχος	tribuno; comandante
ἐκλεκτός	elegido
ὦ	oh!; omega; último, Omega; último
βροντή	trueno
κλείω	cerrar; clausurar
πειρασμός	prueba; tentación
σαλπίζω	trompeta; tocar la trompeta
στρέφω	volverse; dar la vuelta; cambiar
τοσοῦτος	tanto; tan grande; tantos
