καί|y, también, entonces, pero
οὐ, οὐκ, οὐχ|no
λέγω|decir, llamar
θεός|Dios
Ἰησοῦς|Jesús
ἔχω|tener, necesitar
ἀκούω|oír, escuchar
λαμβάνω|tomar, recibir
πιστεύω|creer
γινώσκω|saber, aprender, entender, reconocer
θέλω|desear, querer
γράφω|escribir
εὑρίσκω|hallar; encontrar
ἐσθίω|comer
ἐγείρω|resucitar; levantarse
ἀποστέλλω|enviar
βλέπω|ver, mirar
βάλλω|arrojar, echar
μένω|permanecer, quedar, morar
λύω|desatar; destruir, liberar
κύριος|Señor; señor; dueño
ἄνθρωπος|hombre
Χριστός|Cristo
υἱός|hijo
ἀδελφός|hermano
λόγος|palabra
οὐρανός|cielo
Ἰουδαῖος|judío
νόμος|ley
κόσμος|mundo; adorno
ἄγγελος|ángel; mensajero
ὄχλος|muchedumbre; multitud; gente
ἔργον|obra; acción
δοῦλος|siervo; esclavo
θάνατος|muerte
ὀφθαλμός|ojo, vista
τέκνον|hijo; niño
ἄρτος|pan
καιρός|tiempo; debido tiempo, oportunidad
θηρίον|bestia; animal; fiera
γίνομαι|suceder; ser; ser hecho
παραγίνομαι|llegar, venir, presentarse
ἔρχομαι|ir; venir; llegar
ἐξέρχομαι|salir; ir afuera
εἰσέρχομαι|entrar
διέρχομαι|pasar; atravesar
συνέρχομαι|reunirse; acompañar
παρέρχομαι|pasar
προσέρχομαι|acercarse; llegar
ἀποκρίνομαι|responder
δύναμαι|ser apto; poder
πορεύομαι|ir; venir
ἀπέρχομαι|irse; partir
κάθημαι|sentarse; montar (a caballo); residir
προσεύχομαι|orar
ἀσπάζομαι|saludar; dar la bienvenida
δέχομαι|recibir; aceptar
λογίζομαι|considerar; pensar
βούλομαι|querer
καυχάομαι|gloriarse; jactarse
ἐργάζομαι|trabajar; hacer; obrar
ἐν + dativo|en
εἰς + acusativo|a; hacia
ἐκ + genitivo|de; fuera de
ἐπί + genitivo|sobre
ἐπί + dativo|encima de
ἐπί + acusativo|en, contra, por
πρός + acusativo|hacia
διά + genitivo|a través de
διά + acusativo|a causa de
ἀπό + genitivo|de, desde
κατά + genitivo|contra
κατά + acusativo|según
μετά + acusativo|después de
μετά + genitivo|en, contra, por
περί + genitivo|acerca de
περί + acusativo|alrededor de
ὑπό + genitivo|por; bajo; debajo
ὑπό + acusativo|debajo de
παρά + genitivo|de, de parte de, por
παρά + dativo|con
παρά + acusativo|junto a, a lo largo de
ὑπέρ + genitivo|por, en nombre de, en favor de
ὑπέρ + acusativo|más allá de, más que, por encima de
σύν + dativo|con; junto con
ἐνώπιον + gen|ante; delante de
ἄχρι + gen|hasta
ἔμπροσθεν + gen|delante de; al frente de
πρό + gen|ante de; delante de
ἀναβαίνω|subir; ascender
καταβαίνω|descender; bajar
ἐκβάλλω|expulsar, sacar, arrojar
ἀνοίγω|abrir
ἀποκτείνω|matar
ἀπολύω|soltar; divorciarse; repudiar; despedir; perdonar
συνάγω|reunirse; recoger, juntar, recibir
παραλαμβάνω|tomar; recibir; llevar
προσφέρω|ofrecer; presentar; traer
ἀπαγγέλλω|informar; contar; comunicar; avisar
ἐπιγινώσκω|conocer; reconocer; saber
παρακαλέω|rogar, exhortar, consolar
περιπατέω|andar; caminar
ἡμέρα|día
μαθητής|discípulo
γῆ|tierra
ἁμαρτία|pecado
δόξα|gloria; esplendor, majestad
βασιλεία|reino
καρδία|corazón
προφήτης|profeta
φωνή|voz; sonido
ζωή|vida
ἀγάπη|amor
ἐκκλησία|iglesia
ἀλήθεια|verdad
ὥρα|hora
ἐξουσία|autoridad; poder
ἀρχή|principio; comienzo, principado; gobernante
ψυχή|vida; alma; persona
οἰκία|casa
δικαιοσύνη|justicia
εἰρήνη|paz
ὁδός|camino
εἰμί|ser; estar; haber
ἐγώ|yo
σύ|tú
αὐτός|él
ἡμεῖς|nosotros
ὑμεῖς|vosotros; ustedes
οὗτος|este
δὲ|pero; y; entonces
ὅτι|que; porque
γάρ|porque; pues
ἀλλά|sino; pero; sin embargo
ἐκεῖνος|ese; aquel; él
Παῦλος|Pablo
Πέτρος|Pedro
λαός|pueblo; gente
Ἰωάννης|Juan
οἶκος|casa
ἀποθνῄσκω|morir; perecer
αἴρω|tomar; quitar; llevar
ἅγιος|santo
πρῶτος|primero
ἄλλος|otro
νεκρός|muerte
μόνος|solo; solamente
ἴδιος|propio; suyo, su propio
ὅλος|todo; entero; completo
ἀγαθός|bueno (ético)
καλός|bueno (estético)
ἕτερος|otro
δίκαιος|justo; inocente
πονηρός|mal; maligno; perverso
αἰώνιος|eterno
πιστός|fiel; creyente
ἀγαπητός|amado; querido
