frecuencia,palabra,traduccion,morfologia,strong
1243,πᾶς,todos,Adjetivo,3956
416,πολύς,muchos; mucho; gran,Adjetivo,4183
243,μέγας,grande; importante; sorprendente,Adjetivo,3173
233,ἅγιος,santo; dedicado,Adjetivo,40
155,ἄλλος,otro; otra; diferente,Adjetivo,243
155,πρῶτος,primero,Adjetivo,4413
128,νεκρός,muerte; cuerpo muerto,Adjetivo,3498
114,μόνος,únicamente; solo,Adjetivo,3441
114,ἴδιος,propio; suyo propio,Adjetivo,2398
109,ὅλος,todo; completo,Adjetivo,3650
102,ἀγαθός,bueno; beneficioso,Adjetivo,18
101,καλός,bueno; bello; adecuado,Adjetivo,2570
98,ἕτερος,otro; otra,Adjetivo,2087
79,δίκαιος,justo; apropiado; ser reconciliado con,Adjetivo,1342
78,πονηρός,perverso; culpable,Adjetivo,4190
71,αἰώνιος,eterno,Adjetivo,166
67,πιστός,fiel; confiable,Adjetivo,4103
61,ἀγαπητός,amado; único amor; preciado,Adjetivo,27
59,εὐθύς,derecho; recto,Adjetivo,2117
58,μέσος,medio; en medio,Adjetivo,3319
56,τρίτος,tercero,Adjetivo,5154
55,λοιπός,demás; restante,Adjetivo,3062
54,δεξιός,derecha; diestra,Adjetivo,1188
52,ἔσχατος,final(mente); último; postrero,Adjetivo,2078
50,μακάριος,bendito; bienaventurado; afortunado,Adjetivo,3107
50,τυφλός,ciego,Adjetivo,5185
50,κακός,malo; perverso,Adjetivo,2556
48,ἔρημος,desolado; deshabitado; (lugar) solitario; desierto,Adjetivo,2048
47,ἁμαρτωλός,pecador; pecaminoso,Adjetivo,268
46,μικρός,poco; pequeño,Adjetivo,3398
45,ὅμοιος,semejante,Adjetivo,3664
43,δεύτερος,segundo,Adjetivo,1208
42,καινός,nuevo,Adjetivo,2537
41,ἄξιος,digno,Adjetivo,514
40,ὀλίγος,poco; pequeño; pocos,Adjetivo,3641
39,ἱκανός,suficiente; adecuado,Adjetivo,
34,πτωχός,pobre,Adjetivo,
32,ἐχθρός,enemigo; ser enemigo de,Adjetivo,2190
32,ἀκάθαρτος,inmundo,Adjetivo,169
32,δυνατός,posible; fuerte; capaz,Adjetivo,1415
29,ἰσχυρός,fuerte; poderoso,Adjetivo,2478
28,πλούσιος,rico; abundancia,Adjetivo,4145
28,ἀληθινός,verdadero; confiable,Adjetivo,228
27,καθαρός,puro; limpio,Adjetivo,2513
26,ἀληθής,verdadero; justo; veraz; honesto,Adjetivo,227
26,ἀσθενής,débil; enfermo,Adjetivo,772
26,πνευματικός,espiritual,Adjetivo,4152
25,λευκός,blanco; radiante,Adjetivo,3022
24,νέος,nuevo; joven,Adjetivo,3501
23,ἄπιστος,infiel; desleal; incrédulo,Adjetivo,571
23,ἐλεύθερος,libre; persona libre,Adjetivo,1658
