ὁ,él; la; los; las
καί,y; entonces; también
ἐν,en
ἐγώ,yo; mi; ego
σύ,tu; tuyo; ustedes; vosotros
Χριστός,Cristo
πᾶς,todos
αὐτός,mismo; él
δέ,pero; y; y luego
εἰς,a; en; dentro; entre; para; por medio de
θεός,Dios; dios; diosa
Ἰησοῦς,Jesús; Josué
ὅτι,que; porque; a saber
εἰμί,ser; existir; ir
ὅς,que; quien; cual
ἀλλά,pero; sino; aún
οὗτος,esto; este; estas; estos
κύριος,Señor; señor; dueño
διά,por medio de; por; a través; por causa de; en nombre de
εἰ,si; si es que
οὐ,no; que; porque
γάρ,porque; entonces; y
ἵνα,para que; como resultado; que; a saber
κατά,conforme a; según; inclinarse a
ἐκ,de; por
τὶς,alguien; alguno; algo
ἔχω,poseer; tener; aferrar
φρονέω,pensar
χαίρω,regocijar; dar bienvenida; bienvenido
ἀδελφός,hermano; compañero en la fe; compatriota; hijos de una misma madre
εὐαγγέλιον,evangelio; buenas nuevas
ὅσος,tanto como; tantos como
ὡς,como; como si
μετά,con; entre; contra; después
ὑπέρ,por; más aún
ἐπί,sobre; en; entre; hacia; a; por; contra
ἑαυτοῦ,sí mismo; sí misma; de él; de ella
ἡγέομαι,guiar; considerar; gobernar; tener una opinión
μή,no
θάνατος,muerte
εἴτε,ser; si; ya sea; o
οἶδα,saber; entender
γίνομαι,ser; llegar a existir; convertirse; acontecer
δόξα,gloria; esplendor; grandeza
μᾶλλον,más; en vez de; en lugar de
πείθω,persuadir; prevalecer sobre; convencer
πέμπω,enviar; enviar un mensaje
οὖν,por lo tanto; verdaderamente; pues; entonces
μόνος,únicamente; solo
πίστις,fe; confiar
σάρξ,carne; cuerpo
πνεῦμα,espíritu; Espíritu; aliento; viento
μέν,ciertamente; y; por cierto; por un lado
γινώσκω,saber; aprender; entender; reconocer
περισσεύω,tener en abundancia; tener más que suficiente
νῦν,ahora
χαρά,alegría; gozo
ὄνομα,nombre; por nombre
ὅστις,quien; cualquier persona que; cualquier cosa que
εἷς,uno; una; un
περί,acerca de; cerca de; alrededor de; en cuanto a; con
ἀκούω,oír; ser capaz de oír; recibir noticias; prestar atención a
εἶδον,ver
πρός,a; hacia; contra
λόγος,palabra
πολύς,muchos; mucho; gran
λοιπός,demás; restante
δικαιοσύνη,rectitud; ser reconciliado con; justicia
πληρόω,completar; proveer plenamente; llenar; acabar
ἀγάπη,amor
δεσμός,"cadena, prisión"
ἡμέρα,día
δέησις,oración; petición ruego
πάντοτε,siempre
πατήρ,padre; antepasado
ἀπό,de
σύν,con; junto con
ἀσπάζομαι,saludar; dar la bienvenida
λέγω,decir
καταλαμβάνω,sobreponerse; dominar; vencer; atrapar
ἤδη,ya; ahora
διώκω,perseguir; esforzarse por hacer algo
νόμος,ley
βλέπω,ver; mirar
χρεία,necesidad; lo que se necesita
ἀγαπητός,amado; único amor; preciado
ἄνθρωπος,hombre; ser humano
ὑπερέχω,sobrepasar
μηδείς,nadie; nada
πάλιν,también; por otra parte
ζωή,vida
σῶμα,cuerpo
οὐδείς,nadie; nada; ninguno; no
σωτηρία,liberación; salvación
πλήν,pero; excepto; solo
ὥστε,como; de manera que; por lo tanto
ἔρχομαι,ir; venir
καρπός,fruto; siega
καθώς,tal como; como
ἔργον,obra; trabajo
κοινωνία,comunión
ποιέω,hacer; realizar
εἰρήνη,paz
χάρις,gracia
ἅγιος,santo; dedicado
αἰών,era; edad
παρά,de; a; en; por; entre; desde
ἐπιζητέω,procurar algo; buscar
μανθάνω,aprender
παρακαλέω,pedir fervorosamente; invitar; animar
περιπατέω,andar; andar por los alrededores; comportarse
οὕτως,así; como sigue; tan; de esta manera
λογίζομαι,contar; considerar; pensar
ζημία,pérdida; daño; desventaja
ἐκκλησία,iglesia; asamblea
Ἑβραῖος,hebreo
περιτομή,circuncisión
λύπη,dolor; tristeza
ἀσθενέω,estar débil; estar enfermo
συνεργός,ayudante
Ἐπαφρόδιτος,Epafrodito
μεριμνάω,afanarse; sentir ansiedad
κἀγώ,y; y yo
ταχέως,rápido; pronto
ἐλπίζω,esperar; aguardar
συγχαίρω,alegrarse con; regocijarse
λειτουργία,servicio; deber cívico; ministerio
θυσία,sacrificio
κενός,vacio; vano
τέκνον,hijo; descendiente; aquel que es nacido
ἄμεμπτος,irreprensible
ἐνεργέω,trabajar; obrar
ἐπίγειος,terrenal
σταυρός,cruz
μέχρι,hasta; al punto que
ταπεινόω,humillar; avergonzar
εὑρίσκω,hallar; descubrir
λαμβάνω,tomar; recibir; sujetar
ὑπάρχω,ser; existir; estar presente
μορφή,forma; figura
σκοπέω,cuidar de; notar
ἕκαστος,cada
χαρίζομαι,perdonar; mostrar gentileza; mostrar favor; otorgar por gracia
ἀπώλεια,destrucción; desperdicio
ὑπό,por; bajo; debajo; a la; a
συναθλέω,combatir juntos
ψυχή,alma; vida; persona
στήκω,estar firme; estar de pie
παρουσία,venida; presencia; adviento
ἐμός,mi; mío
καύχημα,jactarse
ἀναγκαῖος,necesario; íntimo
γνωρίζω,dar a conocer; revelar
κέρδος,ganancia
ζάω,vivir
τίς,¿quién?; ¿qué?
θλῖψις,tribulación; aflicción
